"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",61,1100,1100,1100,1100,1200,1200,1300,1600,1647
"GET /about-us",12,640,870,1300,1300,1400,1500,1500,1500,1502
"GET /about-us/locations",26,1300,1300,1400,1400,1400,1600,1900,1900,1875
"GET /about-us/our-team",31,770,1200,1300,1300,1400,1500,2400,2400,2431
"GET /contact-us",35,1300,1300,1400,1400,1400,1500,2500,2500,2517
"GET /demos/containers",3,1100,1100,1200,1200,1200,1200,1200,1200,1210
"GET /demos/content-geolocation",23,1000,1100,1100,1200,1200,1300,1300,1300,1268
"GET /demos/mobile-apps",8,1100,1200,1200,1200,1200,1200,1200,1200,1172
"GET /demos/remote-widget",5,460,500,500,1000,1000,1000,1000,1000,1014
"GET /demos/rest-content-save",6,1100,1100,1300,1300,1300,1300,1300,1300,1314
"GET /news-events/events",4,1300,1300,1800,1800,1800,1800,1800,1800,1847
"GET /news-events/news",32,1200,1300,1400,1400,1400,1400,1500,1500,1469
"GET /resources",6,660,660,840,840,1200,1200,1200,1200,1186
"GET /resources/images",6,1100,1100,1600,1600,1600,1600,1600,1600,1576
"GET /resources/videos",34,1000,1100,1200,1200,1200,1300,1300,1300,1317
"GET /services/first-time-investors",6,1200,1200,1200,1200,2100,2100,2100,2100,2070
"GET /services/global-investors",4,1200,1200,1200,1200,1200,1200,1200,1200,1216
"GET /services/retirees",3,590,590,1100,1100,1100,1100,1100,1100,1108
"GET /services/wealth-managers",20,1200,1300,1300,1400,1400,1500,1500,1500,1494
"None Total",325,1100,1200,1200,1300,1400,1400,1600,1900,2517
