"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",40,520,520,530,540,540,550,560,560,556
"GET /about-us",65,340,610,610,620,640,640,640,1500,1488
"GET /bear-mountain",70,520,540,540,550,550,560,620,690,686
"GET /blogs",8,620,640,650,650,710,710,710,710,710
"GET /contact-us",30,590,620,620,630,660,660,1400,1400,1415
"POST /dotAdmin",1,510,510,510,510,510,510,510,510,510
"GET /go-quest",11,610,630,780,780,780,840,840,840,842
"GET /products",14,600,620,630,630,690,740,740,740,736
"GET /resources",17,600,620,620,620,620,940,940,940,935
"/services",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"None Total",256,520,550,610,610,630,650,780,940,1488
